,Poll End Date,Source,Voting Intention,LIBERAL,NATIONAL,COALITION,ALP,GREENS,PALMER UNITED,FAMILY FIRST,DEMOCRATS,PAULINE HANSON / ONE NATION,OTHERS,Two Party Preferred,COALITION (2PP),LABOR (2PP),PM Satisfaction,SATISFIED (PM),DISSATISFIED (PM),LOTO Satisfaction,SATISFIED (LOTO),DISSATISFIED (LOTO),Preferred PM,PRIME MINISTER (PPM),OPPOSITION LEADER (PPM),,PRIME MINISTER,OPPOSITION LEADER
43_ALP_JG_LNC_TA,31-Oct-10,Morgan,,36.5,4,40.5,43,10.5,,1.5,,,4.5,,46,54,,,,,,,,,,,MS JULIA GILLARD,MR TONY ABBOTT
43_ALP_JG_LNC_TA,25-Oct-10,Essential,,41,3,44,41,8,,,,,7,,50,50,,,,,,,,,,,MS JULIA GILLARD,MR TONY ABBOTT
43_ALP_JG_LNC_TA,24-Oct-10,Newspoll,,,,43,33,14,,,,,10,,52,48,,44,37,,41,46,,53,32,,MS JULIA GILLARD,MR TONY ABBOTT
43_ALP_JG_LNC_TA,23-Oct-10,Nielsen,,,,43,34,14,,2,,,6,,49.9,50.1,,54,39,,45,50,,53,39,,MS JULIA GILLARD,MR TONY ABBOTT
43_ALP_JG_LNC_TA,18-Oct-10,Essential,,42,2,44,40,9,,,,,7,,50,50,,45,37,,39,45,,49,33,,MS JULIA GILLARD,MR TONY ABBOTT
43_ALP_JG_LNC_TA,17-Oct-10,Morgan,,37.5,3,40.5,43,10.5,,2.5,,,3.5,,46,54,,,,,,,,,,,MS JULIA GILLARD,MR TONY ABBOTT
43_ALP_JG_LNC_TA,11-Oct-10,Essential,,42,2,44,41,8,,,,,7,,49,51,,,,,,,,,,,MS JULIA GILLARD,MR TONY ABBOTT
43_ALP_JG_LNC_TA,10-Oct-10,Newspoll,,,,42,35,14,,,,,9,,50,50,,48,33,,39,47,,52,31,,MS JULIA GILLARD,MR TONY ABBOTT
43_ALP_JG_LNC_TA,04-Oct-10,Essential,,42,2,44,42,8,,,,,7,,49,51,,,,,,,,,,,MS JULIA GILLARD,MR TONY ABBOTT
43_ALP_JG_LNC_TA,03-Oct-10,Morgan,,35.5,3,38.5,44,12,,2,,,3.5,,44.5,55.5,,,,,,,,,,,MS JULIA GILLARD,MR TONY ABBOTT
43_ALP_JG_LNC_TA,27-Sep-10,Essential,,40,3,43,42,9,,,,,6,,49,51,,,,,,,,,,,MS JULIA GILLARD,MR TONY ABBOTT
43_ALP_JG_LNC_TA,20-Sep-10,Essential,,42,3,45,40,9,,,,,6,,50,50,,45,37,,43,37,,47,35,,MS JULIA GILLARD,MR TONY ABBOTT
43_ALP_JG_LNC_TA,19-Sep-10,Morgan,,36.5,4.5,41,40.5,13,,2,,,3.5,,46.5,53.5,,,,,,,,,,,MS JULIA GILLARD,MR TONY ABBOTT
43_ALP_JG_LNC_TA,16-Sep-10,Morgan,,39.5,3,42.5,35.5,15,,2.5,,,4.5,,49.5,50.5,,,,,,,,,,,MS JULIA GILLARD,MR TONY ABBOTT
43_ALP_JG_LNC_TA,13-Sep-10,Essential,,41,3,44,39,10,,,,,6,,50,50,,,,,,,,,,,MS JULIA GILLARD,MR TONY ABBOTT
43_ALP_JG_LNC_TA,12-Sep-10,Newspoll,,,,41,34,14,,,,,11,,50,50,,44,36,,48,38,,50,34,,MS JULIA GILLARD,MR TONY ABBOTT
43_ALP_JG_LNC_TA,06-Sep-10,Essential,,40,3,43,39,11,,,,,8,,49,51,,,,,,,,,,,MS JULIA GILLARD,MR TONY ABBOTT
43_ALP_JG_LNC_TA,05-Sep-10,Morgan,,35.5,4,39.5,40.5,15,,2,,,3,,45.5,54.5,,,,,,,,,,,MS JULIA GILLARD,MR TONY ABBOTT
43_ALP_JG_LNC_TA,29-Aug-10,Essential,,41,3,44,38,11,,,,,7,,50,50,,,,,,,,,,,MS JULIA GILLARD,MR TONY ABBOTT
43_ALP_JG_LNC_TA,26-Aug-10,Morgan,,37,3,40,36,13,,2,,,9,,49,51,,,,,,,,,,,MS JULIA GILLARD,MR TONY ABBOTT
43_ALP_JG_LNC_TA,23-Aug-10,Morgan,,,,44.5,40.5,10,,2,,,3,,49.5,50.5,,,,,,,,,,,MS JULIA GILLARD,MR TONY ABBOTT
43_ALP_JG_LNC_TA,21-Aug-10,Election,,,,43.6,38,11.8,,0,0,0,6.6,,49.9,50.1,,,,,,,,,,,MS JULIA GILLARD,MR TONY ABBOTT
43_ALP_JG_LNC_TA,21-Aug-10,Morgan,,,,43.6,38,11.8,,2.3,,,4.3,,49.9,50.1,,,,,,,,,,,MS JULIA GILLARD,MR TONY ABBOTT
42_ALP_JG_LNC_TA,20-Aug-10,Morgan,,,,42.5,39,11.5,,1.5,,,5.5,,49,51,,,,,,,,,,,MS JULIA GILLARD,MR TONY ABBOTT
42_ALP_JG_LNC_TA,20-Aug-10,Essential,,40,3,43,38,12,,,,,7,,49,51,,,,,,,,,,,MS JULIA GILLARD,MR TONY ABBOTT
42_ALP_JG_LNC_TA,19-Aug-10,Newspoll,,,,43.4,36.2,13.9,,,,,6.5,,49.8,50.2,,44,43,,42,50,,50,37,,MS JULIA GILLARD,MR TONY ABBOTT
42_ALP_JG_LNC_TA,19-Aug-10,Nielsen,,,,41.5,39,13,,1.5,,,5,,48,52,,50,41,,46,49,,51,40,,MS JULIA GILLARD,MR TONY ABBOTT
42_ALP_JG_LNC_TA,19-Aug-10,Morgan,,,,42,38,13,,1.5,,,5.5,,49,51,,,,,,,,,,,MS JULIA GILLARD,MR TONY ABBOTT
42_ALP_JG_LNC_TA,16-Aug-10,Essential,,41,3,44,39,10,,,,,6,,49,51,,46,40,,41,44,,46,35,,MS JULIA GILLARD,MR TONY ABBOTT
42_ALP_JG_LNC_TA,15-Aug-10,Newspoll,,,,41,38,14,,,,,7,,48,52,,44,38,,43,46,,50,35,,MS JULIA GILLARD,MR TONY ABBOTT
42_ALP_JG_LNC_TA,15-Aug-10,Morgan,,,,43,40,13.5,,1.5,,,2,,48,52,,,,,,,,,,,MS JULIA GILLARD,MR TONY ABBOTT
42_ALP_JG_LNC_TA,14-Aug-10,Morgan,,,,44,40.5,12.5,,1,,,2,,49,51,,,,,,,,,,,MS JULIA GILLARD,MR TONY ABBOTT
42_ALP_JG_LNC_TA,12-Aug-10,Nielsen,,,,41,40,12,,1,,,5,,47,53,,54,36,,45,48,,52,38,,MS JULIA GILLARD,MR TONY ABBOTT
42_ALP_JG_LNC_TA,09-Aug-10,Essential,,39,3,42,41,10,,,,,7,,48,52,,45,40,,40,45,,45,33,,MS JULIA GILLARD,MR TONY ABBOTT
42_ALP_JG_LNC_TA,08-Aug-10,Newspoll,,,,42,38,13,,,,,7,,48,52,,43,41,,41,49,,49,34,,MS JULIA GILLARD,MR TONY ABBOTT
42_ALP_JG_LNC_TA,08-Aug-10,Morgan,,,,37,43,15.5,,2,,,2.5,,42.5,57.5,,,,,,,,,,,MS JULIA GILLARD,MR TONY ABBOTT
42_ALP_JG_LNC_TA,05-Aug-10,Nielsen,,,,44,36,13,,1,,,5,,51,49,,52,38,,50,43,,49,41,,MS JULIA GILLARD,MR TONY ABBOTT
42_ALP_JG_LNC_TA,03-Aug-10,Morgan,,,,45,38,11,,1,,,5,,50,50,,,,,,,,,,,MS JULIA GILLARD,MR TONY ABBOTT
42_ALP_JG_LNC_TA,02-Aug-10,Essential,,37,2,39,40,13,,,,,8,,46,54,,46,38,,38,48,,48,30,,MS JULIA GILLARD,MR TONY ABBOTT
42_ALP_JG_LNC_TA,01-Aug-10,Newspoll,,,,44,37,12,,,,,7,,50,50,,42,40,,44,46,,50,35,,MS JULIA GILLARD,MR TONY ABBOTT
42_ALP_JG_LNC_TA,01-Aug-10,Morgan,,,,41,44,10,,1,,,4,,47,53,,,,,,,,,,,MS JULIA GILLARD,MR TONY ABBOTT
42_ALP_JG_LNC_TA,29-Jul-10,Nielsen,,,,45,36,12,,1,,,5.5,,52,48,,51,39,,49,45,,49,41,,MS JULIA GILLARD,MR TONY ABBOTT
42_ALP_JG_LNC_TA,28-Jul-10,Morgan,,,,42,42,11,,1.5,,,3.5,,47,53,,,,,,,,,,,MS JULIA GILLARD,MR TONY ABBOTT
42_ALP_JG_LNC_TA,25-Jul-10,Newspoll,,,,42,40,12,,,,,6,,48,52,,41,37,,40,46,,50,34,,MS JULIA GILLARD,MR TONY ABBOTT
42_ALP_JG_LNC_TA,25-Jul-10,Morgan,,,,37,43.5,11.5,,1.5,,,6.5,,44.5,55.5,,,,,,,,,,,MS JULIA GILLARD,MR TONY ABBOTT
42_ALP_JG_LNC_TA,25-Jul-10,Essential,,37,2,39,41,13,,,,,8,,45,55,,49,33,,35,46,,51,26,,MS JULIA GILLARD,MR TONY ABBOTT
42_ALP_JG_LNC_TA,22-Jul-10,Nielsen,,,,41,42,12,,1,,,4.5,,46,54,,56,33,,43,51,,55,34,,MS JULIA GILLARD,MR TONY ABBOTT
42_ALP_JG_LNC_TA,21-Jul-10,Morgan,,,,38.5,44,11.5,,2,,,4,,44.5,55.5,,,,,,,,,,,MS JULIA GILLARD,MR TONY ABBOTT
42_ALP_JG_LNC_TA,19-Jul-10,Essential,,37,2,39,41,13,,,,,7,,45,55,,52,30,,40,44,,50,27,,MS JULIA GILLARD,MR TONY ABBOTT
42_ALP_JG_LNC_TA,18-Jul-10,Newspoll,,34,4,38,42,12,,,,,8,,45,55,,48,29,,36,51,,57,27,,MS JULIA GILLARD,MR TONY ABBOTT
42_ALP_JG_LNC_TA,18-Jul-10,Morgan,,,,39.5,44.5,10.5,,1.5,,,4,,44,56,,,,,,,,,,,MS JULIA GILLARD,MR TONY ABBOTT
42_ALP_JG_LNC_TA,18-Jul-10,Galaxy,,39,5,44,38,12,,,,,6,,50,50,,,,,,,,,,,MS JULIA GILLARD,MR TONY ABBOTT
42_ALP_JG_LNC_TA,16-Jul-10,Galaxy,,38,4,42,39,13,,,,,6,,48,52,,,,,,,,,,,MS JULIA GILLARD,MR TONY ABBOTT
42_ALP_JG_LNC_TA,11-Jul-10,Morgan,,,,41,40.5,12,,1.5,,,5,,45.5,54.5,,,,,,,,,,,MS JULIA GILLARD,MR TONY ABBOTT
42_ALP_JG_LNC_TA,11-Jul-10,Galaxy,,38,4,42,39,14,,,,,5,,48,52,,,,,,,,,,,MS JULIA GILLARD,MR TONY ABBOTT
42_ALP_JG_LNC_TA,11-Jul-10,Essential,,36,3,38,41,13,,,,,8,,45,55,,,,,,,,,,,MS JULIA GILLARD,MR TONY ABBOTT
42_ALP_JG_LNC_TA,10-Jul-10,Nielsen,,,,42,39,13,,1,,,3,,48,52,,54,32,,43,51,,56,35,,MS JULIA GILLARD,MR TONY ABBOTT
42_ALP_JG_LNC_TA,05-Jul-10,Essential,,36,3,39,42,11,,,,,8,,46,54,,48,27,,37,47,,53,26,,MS JULIA GILLARD,MR TONY ABBOTT
42_ALP_JG_LNC_TA,04-Jul-10,Morgan,,,,38,45.5,10.5,,1.5,,,4.5,,45,55,,,,,,,,,,,MS JULIA GILLARD,MR TONY ABBOTT
42_ALP_JG_LNC_TA,29-Jun-10,Essential,,36,3,39,42,9,,,,,10,,46,54,,,,,,,,,,,MS JULIA GILLARD,MR TONY ABBOTT
42_ALP_JG_LNC_TA,28-Jun-10,Morgan,,,,45.5,38.5,9,,1.5,,,5.5,,51.5,48.5,,,,,,,,,,,MS JULIA GILLARD,MR TONY ABBOTT
42_ALP_JG_LNC_TA,27-Jun-10,Newspoll,,37,3,40,42,10,,,,,8,,47,53,,,,,42,41,,53,29,,MS JULIA GILLARD,MR TONY ABBOTT
42_ALP_JG_LNC_TA,25-Jun-10,Nielsen,,,,42,47,8,,1,,,3.5,,45,55,,,,,40,46,,55,34,,MS JULIA GILLARD,MR TONY ABBOTT
42_ALP_JG_LNC_TA,25-Jun-10,Galaxy,,38,4,42,41,12,,,,,5,,48,52,,,,,,,,,,,MS JULIA GILLARD,MR TONY ABBOTT
42_ALP_JG_LNC_TA,24-Jun-10,PM Change,,,,,,,,,,,,,,,,,,,,,,,,,MS JULIA GILLARD,MR TONY ABBOTT
42_ALP_JG_LNC_TA,24-Jun-10,Galaxy,,38,4,42,41,11,,,,,6,,48,52,,,,,,,,,,,MS JULIA GILLARD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,22-Jun-10,Essential,,37,3,40,38,11,,,,,11,,48,52,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,20-Jun-10,Newspoll,,36,4,40,35,15,,,,,10,,48,52,,36,55,,38,49,,46,37,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,20-Jun-10,Morgan,,,,41,41,12.5,,1.5,,,4,,47,53,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,15-Jun-10,Essential,,38,3,41,35,14,,,,,10,,49,51,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,13-Jun-10,Morgan,,,,41,38,13,,1.5,,,6.5,,48.5,51.5,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,07-Jun-10,Essential,,38,3,40,37,12,,,,,10,,48,52,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,06-Jun-10,Morgan,,,,41.5,40,11,,2.5,,,2,,48,52,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,05-Jun-10,Nielsen,,,,43,33,15,,2,,,7,,53,47,,41,52,,41,51,,49,39,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,31-May-10,Essential,,39,2,41,39,9,,,,,10,,49,51,,41,47,,35,50,,,,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,30-May-10,Newspoll,,38,3,41,35,16,,,,,8,,49,51,,36,54,,37,49,,49,33,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,30-May-10,Morgan,,,,41,42,8.5,,1.5,,,7,,47.5,52.5,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,27-May-10,Morgan,,,,43,37.5,11.5,,1.5,,,6.5,,50,50,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,24-May-10,Essential,,39,2,41,40,10,,,,,9,,48,52,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,23-May-10,Morgan,,,,41,42.5,11,,2,,,3.5,,45.5,54.5,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,17-May-10,Essential,,41,2,43,38,10,,,,,9,,50,50,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,16-May-10,Newspoll,,40,3,43,37,12,,,,,8,,50,50,,39,51,,42,45,,49,33,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,16-May-10,Morgan,,,,43,37.5,12,,1.5,,,6,,49.5,50.5,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,16-May-10,Galaxy,,38,5,43,37,12,,,,,8,,50,50,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,13-May-10,Morgan,,,,46,36,11.5,,2,,,4.5,,52,48,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,10-May-10,Essential,,39,3,42,37,11,,,,,10,,50,50,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,09-May-10,Morgan,,,,42.5,41,9,,2.5,,,5,,48.5,51.5,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,08-May-10,Nielsen,,,,42,37,13,,3,,,5,,50,50,,45,49,,46,45,,53,38,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,05-May-10,Morgan,,,,44.5,39.5,9,,1.5,,,5.5,,50,50,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,03-May-10,Essential,,36,3,39,40,11,,,,,10,,47,53,,46,42,,39,43,,,,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,02-May-10,Newspoll,,38,5,43,35,10,,,,,12,,51,49,,39,50,,45,43,,50,32,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,25-Apr-10,Morgan,,,,40.5,44,8,,2.5,,,5,,45.5,54.5,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,25-Apr-10,Essential,,36,3,39,42,9,,,,,10,,46,54,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,19-Apr-10,Essential,,37,2,39,42,11,,,,,9,,46,54,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,18-Apr-10,Newspoll,,37,3,40,43,10,,,,,7,,46,54,,50,41,,46,40,,56,29,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,18-Apr-10,Morgan,,,,37.5,43,12,,2,,,5.5,,44,56,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,17-Apr-10,Nielsen,,,,42,39,12,,1,,,4,,49,51,,59,36,,46,45,,59,34,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,12-Apr-10,Essential,,37,3,40,41,11,,,,,8,,46,54,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,06-Apr-10,Essential,,36,3,39,43,10,,,,,9,,46,54,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,04-Apr-10,Morgan,,,,36.5,48,8.5,,2.5,,,4.5,,42,58,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,29-Mar-10,Essential,,36,3,39,43,9,,,,,9,,46,54,,53,36,,33,50,,,,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,28-Mar-10,Newspoll,,35,3,38,43,12,,,,,7,,44,56,,51,39,,44,43,,59,27,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,22-Mar-10,Galaxy,,38,6,44,29,14,,,,,13,,57,43,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,22-Mar-10,Essential,,35,3,38,45,9,,,,,9,,44,56,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,21-Mar-10,Morgan,,,,37,44.5,11,,2,,,5.5,,43.5,56.5,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,15-Mar-10,Essential,,35,3,38,45,9,,,,,8,,44,56,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,14-Mar-10,Newspoll,,37,4,41,39,11,,,,,9,,48,52,,48,41,,47,38,,55,30,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,09-Mar-10,Essential,,37,3,40,43,9,,,,,9,,46,54,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,07-Mar-10,Morgan,,,,38.5,45,8.5,,2,,,6,,44.5,55.5,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,06-Mar-10,Nielsen,,,,42,42,9,,1,,,5,,47,53,,57,37,,50,41,,57,35,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,01-Mar-10,Essential,,37,3,40,42,9,,,,,9,,47,53,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,28-Feb-10,Newspoll,,37,4,41,40,9,,,,,10,,48,52,,51,40,,48,38,,55,30,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,22-Feb-10,Essential,,37,3,40,43,8,,,,,9,,46,54,,52,37,,45,36,,,,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,21-Feb-10,Morgan,,,,37.5,45,9,,2.5,,,6,,43.5,56.5,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,15-Feb-10,Essential,,36,2,38,44,10,,,,,8,,45,55,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,14-Feb-10,Newspoll,,36,4,40,39,12,,,,,9,,47,53,,50,40,,44,37,,55,27,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,14-Feb-10,Morgan,,,,37,47,9,,2,,,5,,42.5,57.5,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,11-Feb-10,Morgan,,,,41,42,10.5,,1,,,5.5,,46.5,53.5,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,08-Feb-10,Essential,,35,3,38,44,10,,,,,8,,45,55,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,06-Feb-10,Nielsen,,,,41,42,10,,2,,,6,,46,54,,60,33,,44,41,,58,31,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,01-Feb-10,Essential,,35,3,38,45,9,,,,,8,,44,56,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,31-Jan-10,Newspoll,,37,4,41,40,12,,,,,7,,48,52,,50,38,,41,39,,58,26,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,31-Jan-10,Morgan,,,,38,46,8.5,,1.5,,,6,,43.5,56.5,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,24-Jan-10,Essential,,34,2,37,46,8,,,,,9,,44,56,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,18-Jan-10,Essential,,35,3,38,45,8,,,,,9,,44,56,,55,33,,37,37,,,,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,17-Jan-10,Newspoll,,34,4,38,40,12,,,,,10,,46,54,,52,34,,40,35,,57,25,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,17-Jan-10,Morgan,,,,35.5,47.5,10,,2,,,5,,41.5,58.5,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,14-Jan-10,Morgan,,,,39,43,9.5,,1.5,,,7,,45.5,54.5,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,14-Jan-10,Galaxy,,37,6,43,39,15,,,,,13,,56,44,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,03-Jan-10,Morgan,,,,37,45.5,10,,2,,,5.5,,43,57,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,21-Dec-09,Essential,,34,3,37,47,8,,,,,8,,43,57,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,14-Dec-09,Essential,,32,3,35,46,10,,,,,9,,42,58,,57,32,,34,36,,,,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,13-Dec-09,Morgan,,,,35.5,49,8,,1.5,,,6,,41,59,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,09-Dec-09,Morgan,,,,41.5,42,9.5,,1.5,,,5.5,,47,53,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,07-Dec-09,Essential,,30,4,34,46,9,,,,,11,,42,58,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,06-Dec-09,Newspoll,,34,4,38,43,11,,,,,8,,44,56,,58,32,,,,,60,23,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,03-Dec-09,Morgan,,,,43,41,10.5,,1.5,,,4,,47,53,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_TA,01-Dec-09,LOTO Change,,,,,,,,,,,,,,,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
42_ALP_KR_LNC_MT,29-Nov-09,Newspoll,,30,5,35,43,12,,,,,10,,43,57,,56,34,,36,50,,65,14,,MR KEVIN RUDD,MR MALCOLM TURNBULL
42_ALP_KR_LNC_MT,29-Nov-09,Morgan,,,,35,47,9.5,,3,,,5.5,,41.5,58.5,,,,,,,,,,,MR KEVIN RUDD,MR MALCOLM TURNBULL
42_ALP_KR_LNC_MT,29-Nov-09,Essential,,31,4,35,47,8,,,,,10,,42,58,,56,35,,25,55,,,,,MR KEVIN RUDD,MR MALCOLM TURNBULL
42_ALP_KR_LNC_MT,28-Nov-09,Nielsen,,,,37,42,13,,2,1,,6,,44,56,,66,29,,41,51,,67,21,,MR KEVIN RUDD,MR MALCOLM TURNBULL
42_ALP_KR_LNC_MT,22-Nov-09,Morgan,,,,35.5,48,9,,1.5,,,6,,41.5,58.5,,,,,,,,,,,MR KEVIN RUDD,MR MALCOLM TURNBULL
42_ALP_KR_LNC_MT,16-Nov-09,Essential,,36,3,39,45,9,,,,,7,,45,55,,,,,,,,,,,MR KEVIN RUDD,MR MALCOLM TURNBULL
42_ALP_KR_LNC_MT,15-Nov-09,Newspoll,,33,4,37,43,11,,,,,9,,44,56,,56,34,,34,50,,63,22,,MR KEVIN RUDD,MR MALCOLM TURNBULL
42_ALP_KR_LNC_MT,15-Nov-09,Morgan,,,,36.5,45,9,,3,,,6.5,,43.5,56.5,,,,,,,,,,,MR KEVIN RUDD,MR MALCOLM TURNBULL
42_ALP_KR_LNC_MT,12-Nov-09,Morgan,,,,41.5,42.5,8,,1,,,7,,48,52,,,,,,,,,,,MR KEVIN RUDD,MR MALCOLM TURNBULL
42_ALP_KR_LNC_MT,09-Nov-09,Essential,,33,2,35,48,9,,,,,8,,41,59,,61,32,,29,50,,,,,MR KEVIN RUDD,MR MALCOLM TURNBULL
42_ALP_KR_LNC_MT,08-Nov-09,Morgan,,,,38.5,46.5,8,,2,,,5,,44,56,,,,,,,,,,,MR KEVIN RUDD,MR MALCOLM TURNBULL
42_ALP_KR_LNC_MT,07-Nov-09,Nielsen,,,,38,45,9,,2,1,,4,,44,56,,68,28,,37,53,,68,24,,MR KEVIN RUDD,MR MALCOLM TURNBULL
42_ALP_KR_LNC_MT,02-Nov-09,Essential,,33,2,35,49,8,,,,,8,,41,59,,,,,,,,,,,MR KEVIN RUDD,MR MALCOLM TURNBULL
42_ALP_KR_LNC_MT,01-Nov-09,Newspoll,,36,5,41,41,10,,,,,8,,48,52,,59,32,,32,51,,63,19,,MR KEVIN RUDD,MR MALCOLM TURNBULL
42_ALP_KR_LNC_MT,01-Nov-09,Morgan,,,,35,51,9.5,,2,,,5,,39,61,,,,,,,,,,,MR KEVIN RUDD,MR MALCOLM TURNBULL
